Brand,Description,Catérogie,Format (petit),Prix Total,Prix unitaire,Format (grand),Prix Total,Prix unitaire,URL
Natura,Boisson à l'avoine non-sucrée 946 ml,boisson,unité (946ml),3.39,0.358,caisse (12x946ml),36.99,0.326,https://www.mayrand.ca/fr/nos-produits/boisson/lait-et-boisson-vegetale/boisson-vegetale/boisson-a-lavoine-non-sucree-natura-34526/
Earth's own,Boisson à l'avoine originale non sucrée 946 ml,boisson,unité (946ml),3.29,0.348,caisse (12x946ml),36.99,0.326,https://www.mayrand.ca/fr/nos-produits/boisson/lait-et-boisson-vegetale/boisson-vegetale/boisson-a-lavoine-originale-non-sucree-earths-own-30392/
Crush,Boisson à l'orange soda crème 355 ml,boisson,N/A,N/A,N/A,caisse (12X355ml),5.49,0.129,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-gazeuse/boisson-a-lorange-soda-creme-crush-34931/
Rougemont,Boisson à la limonade 4 x 8 x 200 ml,boisson,N/A,N/A,N/A,caisse (4x8x200ml),10.39,0.162,https://www.mayrand.ca/fr/nos-produits/boisson/jus-et-boisson/jus-et-boisson-aux-fruits/boisson-a-la-limonade-4-x-8-rougemont-14882/
Rougemont,Boisson à la pêche 4 x 8 x 200 ml,boisson,N/A,N/A,N/A,caisse (4x8x200ml),10.39,0.162,https://www.mayrand.ca/fr/nos-produits/boisson/jus-et-boisson/jus-et-boisson-aux-fruits/boisson-a-la-peche-4-x-8-rougemont-14886/
Red bull,Boisson énergisante 250 ml,boisson,N/A,N/A,N/A,caisse (24X250ml),44.99,0.75,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-energisante/boisson-energisante-red-bull-49013/
Monster,Boisson énergisante 473 ml,boisson,N/A,N/A,N/A,caisse (12X473ml),23.49,0.414,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-energisante/boisson-energisante-monster-42066/
Nos,Boisson énergisante 473 ml,boisson,N/A,N/A,N/A,caisse (12X473ml),24.99,0.44,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-energisante/boisson-energisante-nos-18499/
Monster,Boisson énergisante Assault 473 ml,boisson,N/A,N/A,N/A,caisse (12X473ml),23.49,0.414,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-energisante/boisson-energisante-assault-monster-18489/
Guru,Boisson énergisante biologique 250 ml,boisson,N/A,N/A,N/A,caisse (24X250ml),38.99,0.65,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-energisante/boisson-energisante-biologique-guru-37677/
Monster,Boisson énergisante ultra violet 473 ml,boisson,N/A,N/A,N/A,caisse (12X473ml),23.49,0.414,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-energisante/boisson-energisante-ultra-violet-monster-18476/
Monster,Boisson énergisante ultra zéro 473 ml,boisson,N/A,N/A,N/A,caisse (12X473ml),23.49,0.414,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-energisante/boisson-energisante-ultra-zero-monster-35043/
Crush,Boissons gazeuses saveurs assorties 355 ml,boisson,N/A,N/A,N/A,caisse (24x355ml),8.99,0.106,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-gazeuse/boisson-gazeuse-emballage-multicolore-crush-36349/
L'Espression d'Or,Café colombien noir en grains 908 g,boisson,unité (2lb),13.59,1.498,caisse (10X2LB),126.99,1.4,https://www.mayrand.ca/fr/nos-produits/boisson/cafe-the-et-chocolat/cafe-en-grain/cafe-colombien-noir-en-grains-lespression-dor-36373/
L'Espression d'Or,Café en grain Colombie corsé 908 g,boisson,unité (2lb),13.59,1.498,caisse (10X2lb),126.99,1.4,https://www.mayrand.ca/fr/nos-produits/boisson/cafe-the-et-chocolat/cafe-en-grain/cafe-en-grain-colombie-corse-lespression-dor-28607/
Agga,Café en grain colombien premium 1 kg,boisson,unité (1kg),22.99,2.299,caisse (5X1kg),96.99,1.94,https://www.mayrand.ca/fr/nos-produits/boisson/cafe-the-et-chocolat/cafe-en-grain/cafe-en-grain-colombien-premium-agga-26433/
L'Espression d'Or,Café en grain décaféiné velouté,boisson,unité (2lb),14.99,1.652,caisse (10X2lb),138.99,1.532,https://www.mayrand.ca/fr/nos-produits/boisson/cafe-the-et-chocolat/cafe-en-grain/cafe-en-grain-decafeine-veloute-lespression-dor-28663/
Cimo,Café en grain espresso azzurro 1 kg,boisson,unité (1kg),9.99,0.999,caisse (6X1kg),56.99,0.95,https://www.mayrand.ca/fr/nos-produits/boisson/cafe-the-et-chocolat/cafe-en-grain/cafe-en-grain-espresso-azzurro-cimo-33809/
Agga,Café en grain espresso biologique 340 g,boisson,unité (340g),10.99,3.232,caisse (8X340g),73.99,2.72,https://www.mayrand.ca/fr/nos-produits/boisson/cafe-the-et-chocolat/cafe-en-grain/cafe-en-grain-espresso-biologique-agga-26436/
Lavazza,Café en grain espresso gran crema 1 kg,boisson,unité (1kg),24.99,2.499,caisse (6X1kg),141.99,2.367,https://www.mayrand.ca/fr/nos-produits/boisson/cafe-the-et-chocolat/cafe-en-grain/cafe-en-grain-espresso-gran-crema-lavazza-17257/
Cimo,Café en grain espresso robusto 1 kg,boisson,unité (1kg),9.99,0.999,caisse (6X1kg),56.99,0.95,https://www.mayrand.ca/fr/nos-produits/boisson/cafe-the-et-chocolat/cafe-en-grain/cafe-en-grain-espresso-robusto-cimo-39266/
Lavazza,Café en grain espresso rouge 1 kg,boisson,unité (1kg),17.99,1.799,caisse (6X1kg),97.99,1.633,https://www.mayrand.ca/fr/nos-produits/boisson/cafe-the-et-chocolat/cafe-en-grain/cafe-en-grain-espresso-rouge-lavazza-28231/
Illy,Café en grain espresso rouge 250 g,boisson,N/A,N/A,N/A,caisse (6X250g),80.99,5.399,https://www.mayrand.ca/fr/nos-produits/boisson/cafe-the-et-chocolat/cafe-en-grain/cafe-en-grain-espresso-rouge-illy-16908/
Lavazza,Café en grain espresso super crème 1 kg,boisson,unité (1kg),28.99,2.899,caisse (6X1kg),164.99,2.75,https://www.mayrand.ca/fr/nos-produits/boisson/cafe-the-et-chocolat/cafe-en-grain/cafe-en-grain-espresso-super-creme-lavazza-46869/
Agga,Café en grain mélange parisien 1 kg,boisson,unité (1kg),22.99,2.299,caisse (5X1kg),96.99,1.94,https://www.mayrand.ca/fr/nos-produits/boisson/cafe-the-et-chocolat/cafe-en-grain/cafe-en-grain-melange-parisien-agga-26434/
Agga,Café en grain noir Arabie 908 g,boisson,unité (908g),22.99,2.532,caisse (5X908g),96.99,2.136,https://www.mayrand.ca/fr/nos-produits/boisson/cafe-the-et-chocolat/cafe-en-grain/cafe-en-grain-noir-arabie-agga-26432/
Agga,Café en grain noir Kenya AA 1 kg,boisson,unité (908g),22.99,2.532,caisse (5X908g),96.99,2.136,https://www.mayrand.ca/fr/nos-produits/boisson/cafe-the-et-chocolat/cafe-en-grain/cafe-en-grain-noir-kenya-aa-agga-26431/
Agga,Café en grains Kenya AA 340 g,boisson,unité (340g),14.99,4.409,caisse (8X340g),108.99,4.007,https://www.mayrand.ca/fr/nos-produits/boisson/cafe-the-et-chocolat/cafe-moulu/cafe-grain-kenya-aa-corse-et-parfume-agga-32466/
Agga,Café en grains Nicaragua 340 g,boisson,unité (340g),10.99,3.232,caisse (8X340g),68.99,2.536,https://www.mayrand.ca/fr/nos-produits/boisson/cafe-the-et-chocolat/cafe-moulu/cafe-grain-nicaragua-intense-et-soutenu-agga-32456/
Agga,Café en grains Pérou 340 g,boisson,unité (340g),11.99,3.526,caisse (8X340g),77.99,2.867,https://www.mayrand.ca/fr/nos-produits/boisson/cafe-the-et-chocolat/cafe-moulu/cafe-grain-perou-chocolate-et-fruite-agga-32453/
Agga,Café en grains Sumatra 340 g,boisson,unité (340g),13.99,4.115,caisse (8X340g),90.99,3.345,https://www.mayrand.ca/fr/nos-produits/boisson/cafe-the-et-chocolat/cafe-moulu/cafe-grain-sumatra-puissant-et-epice-agga-32457/
Saquella,Café en grains espresso 1 kg,boisson,unité (1kg),17.99,1.799,caisse (8x1kg),134.99,1.687,https://www.mayrand.ca/fr/nos-produits/boisson/cafe-the-et-chocolat/cafe-en-grain/cafe-en-grains-espresso-gran-gusto-saquella-35132/
Hortus,Café en grains espresso corsé 908 g,boisson,unité (908g),14.99,1.651,caisse (5X908g),66.99,1.476,https://www.mayrand.ca/fr/nos-produits/boisson/cafe-the-et-chocolat/cafe-en-grain/cafe-en-grains-espresso-corse-hortus-27575/
Saquella,Café en grains espresso crémeux 1 kg,boisson,unité (1KG),18.59,1.859,caisse (10X1KG),172.99,1.73,https://www.mayrand.ca/fr/nos-produits/boisson/cafe-the-et-chocolat/cafe-en-grain/cafe-grain-espresso-crema-saquella-05721/
Saquella,Café en grains espresso extra crémeux 1 kg,boisson,unité (1KG),16.59,1.659,caisse (8X1KG),125.99,1.575,https://www.mayrand.ca/fr/nos-produits/boisson/cafe-the-et-chocolat/cafe-en-grain/cafe-grain-espresso-gran-crem-saquella-35131/
Spalanzani,Café en grains espresso gran crema 1 kg,boisson,unité (1X1KG),17.99,1.799,caisse (5x1kg),85.99,1.72,https://www.mayrand.ca/fr/nos-produits/boisson/cafe-the-et-chocolat/cafe-en-grain/cafe-grain-moyen-espresso-gran-crema-spalanzani-34217/
Spalanzani,Café en grains espresso gran crema 340 g,boisson,unité (1x340g),6.99,699.0,caisse (10x340g),64.99,1.911,https://www.mayrand.ca/fr/nos-produits/boisson/cafe-the-et-chocolat/cafe-en-grain/cafe-grain-moyen-espresso-gran-crema-spalanzani-34216/
Saquella,Café en grains espresso or 1 kg,boisson,unité (1KG),28.99,2.899,caisse (10X1KG),267.99,2.68,https://www.mayrand.ca/fr/nos-produits/boisson/cafe-the-et-chocolat/cafe-en-grain/cafe-grain-espresso-or-saquella-05720/
Hortus,Café en grains espresso équilibré 1 kg,boisson,unité (1kg),15.99,1.599,caisse (5X1Kg),73.99,1.48,https://www.mayrand.ca/fr/nos-produits/boisson/cafe-the-et-chocolat/cafe-en-grain/cafe-en-grains-espresso-equilibre-hortus-27571/
L'Espression d'Or,Café en grains moka java corsé 2 lb,boisson,unité (2lb),13.59,1.498,caisse (10X2lb),126.99,1.4,https://www.mayrand.ca/fr/nos-produits/boisson/cafe-the-et-chocolat/cafe-en-grain/cafe-en-grain-moka-java-corse-lespression-dor-28665/
