Brand,Description,Catérogie,Format (petit),Prix Total,Prix unitaire,Format (grand),Prix Total,Prix unitaire,URL
IEL,"Couvercle carré pression 25,4 x 25,4 cm / 10 x 10''",equipement,unité (1un),2.99,2.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/bac-alimentaire/couvercle-carre-a-pression-iel-29458/
IEL,Couvercle et contenant 4 L,equipement,unité (1un),4.99,4.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/bac-alimentaire/contenant-avec-couvercle-naturel-iel-26865/
Sagetra,Couvercle pour conteneur alimentaire polyéthylène,equipement,unité (1un),19.99,19.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/couvercle/couvercle-pour-conteneur-alimentaire-polyethylene-sagetra-25104/
Starfrit,Couvercle protecteur micro-ondes,equipement,unité (1un),3.99,3.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/couvercle/couvercle-protecteur-micro-ondes-starfrit-28601/
Sagetra,Crémaillière à coutellerie grise,equipement,unité (1un),29.99,29.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/bac-a-ustensile/cremailliere-a-coutellerie-grise-sagetra-42170/
Sagetra,Crémaillière à tasse ouverte grise,equipement,unité (1un),29.99,29.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/bac-et-panier-a-vaisselle/cremailliere-a-tasse-ouverte-grise-sagetra-42173/
Ricardo,Cuiseur sous-vide,equipement,unité (1un),119.99,119.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/appareil-de-cuisine/emballeuse-sous-vide/cuiseur-sous-vide-ricardo-28796/
Ronco,Distributeur universel plexi,equipement,unité (1un),59.99,59.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/vetement/gantjetable/distributeur-universel-en-plexiglass-ronco-26148/
Eurodib,Emballeuse sous vide,equipement,unité (1un),269.99,269.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/appareil-de-cuisine/emballeuse-sous-vide/machine-sous-vide-professionnelle-eurodib-23307/
Trudeau,Ensemble de 3 marqueurs lavables,equipement,unité (3un),8.99,2.997,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/papeterie/accessoire/ensemble-de-3-marqueurs-lavables-trudeau-26859/
Arco,Ensemble de gants de four couleur uni,equipement,unité (1un),3.99,3.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/vetement/tablier-et-mitaine/ensemble-de-gants-de-four-couleur-uni-arco-27555/
Trudeau,Ensemble à fondue 3 en 1,equipement,unité (1un),34.99,34.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/appareil-de-cuisine/raclette-et-fondue/ensemble-a-fondue-3-en-1-trudeau-27632/
Starfrit,Ensemble à fondue 3 en 1 12 pièces,equipement,unité (1un),34.99,34.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/appareil-de-cuisine/raclette-et-fondue/ensemble-a-fondue-3-en-1-12-pieces-starfrit-28500/
Starfrit,Ensemble à fondue 3 en 1 avec support magnétique,equipement,unité (1un),39.99,39.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/appareil-de-cuisine/raclette-et-fondue/ensemble-a-fondue-3-en-1-support-magnetique-starfrit-28501/
Trudeau,Ensemble à fondue Tinto 3 en 1,equipement,unité (1un),39.99,39.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/appareil-de-cuisine/raclette-et-fondue/ensemble-a-fondue-tinto-3-en-1-trudeau-28491/
Trudeau,Ensemble à fondue au chocolat électrique,equipement,unité (1un),22.99,22.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/appareil-de-cuisine/raclette-et-fondue/ensemble-a-fondue-au-chocolat-electrique-trudeau-28488/
Trudeau,Ensemble à fondue en fonte 10 pièces,equipement,unité (1un),84.99,84.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/appareil-de-cuisine/raclette-et-fondue/ensemble-a-fondue-en-fonte-10-pieces-trudeau-27558/
Starfrit,Ensemble à fondue électrique,equipement,unité (1un),59.99,59.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/appareil-de-cuisine/raclette-et-fondue/ensemble-a-fondue-electrique-starfrit-28503/
