Brand,Description,Catérogie,Format (petit),Prix Total,Prix unitaire,Format (grand),Prix Total,Prix unitaire,URL
ABC Emballuxe,"Barquette bateau ovale en bois 8,5 x 13,5 cm x50",emballage,unité (50un),6.99,0.14,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/emballage/contenant-jetable/contenant-ecologique/barquette-bateau-ovale-en-bois-85x135-mm-abc-emballuxe-26221/
ABC Emballuxe,"Barquette bateau ovale en bois 9 x 16,5 cm x50",emballage,unité (50un),6.99,0.14,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/emballage/contenant-jetable/contenant-ecologique/barquette-bateau-ovale-en-bois-90x165-mm-abc-emballuxe-26222/
Master Packaging,"Boite à pizza ondulée imprimée 25,4 cm / 10 x50",emballage,N/A,N/A,N/A,caisse (50un),15.49,0.31,https://www.mayrand.ca/fr/nos-produits/emballage/boite-carton/boite-a-pizza/boite-a-pizza-ondulee-imprimee-10-master-packaging-34438/
Party Couture,Bol carré en plastique blanc x8,emballage,unité (8un),2.39,0.299,caisse (24X8un),47.99,0.25,https://www.mayrand.ca/fr/nos-produits/emballage/contenant-jetable/contenant-plastique/bol-blanc-carre-party-couture-27779/
Yoshi,Bol carré en plastique transparent 16 oz / 473 ml x4,emballage,unité (4un),3.29,0.823,caisse (12x4un),33.99,0.708,https://www.mayrand.ca/fr/nos-produits/emballage/contenant-jetable/contenant-plastique/bol-carre-transparent-16-oz-yoshi-15811/
Party Couture,Bol carré en plastique transparent x8,emballage,unité (8un),2.39,0.299,caisse (24X8un),47.99,0.25,https://www.mayrand.ca/fr/nos-produits/emballage/contenant-jetable/contenant-plastique/bol-transparent-carre-party-couture-27780/
Yoshi,Bol carré à vagues en plastique transparent 5 oz / 148 ml x10,emballage,unité (10un),4.39,0.439,caisse (12x10un),45.99,0.383,https://www.mayrand.ca/fr/nos-produits/emballage/contenant-jetable/contenant-plastique/bol-carre-vague-5oz-yoshi-15810/
Eco-Product,Bol compostable blanc 24 oz / 710 ml x50,emballage,unité (50un),23.99,0.48,caisse (8x50un),160.99,0.402,https://www.mayrand.ca/fr/nos-produits/emballage/contenant-jetable/contenant-ecologique/bol-blanc-bagasse-24oz-eco-product-25867/
Eco-Product,Bol compostable blanc 32 oz / 946 ml x50,emballage,unité (50un),23.99,0.48,caisse (8x50un),179.99,0.45,https://www.mayrand.ca/fr/nos-produits/emballage/contenant-jetable/contenant-ecologique/bol-blanc-bagasse-32oz-eco-product-25869/
Eco-Product,Bol compostable blanc 8 oz / 236 ml x50,emballage,unité (50un),8.49,0.17,caisse (36x50un),270.99,0.151,https://www.mayrand.ca/fr/nos-produits/emballage/contenant-jetable/contenant-ecologique/bol-pode-blanc-8oz-eco-product-25865/
Yoshi,Bol de service en plastique blanc 32 oz / 946 ml x1,emballage,unité (1un),1.89,1.89,caisse (50x1un),81.49,1.63,https://www.mayrand.ca/fr/nos-produits/emballage/contenant-jetable/contenant-plastique/bol-a-service-blanc-32-oz-yoshi-14532/
Yoshi,Bol de service en plastique noir 32 oz / 946 ml x1,emballage,unité (1un),1.89,1.89,caisse (50x1un),81.49,1.63,https://www.mayrand.ca/fr/nos-produits/emballage/contenant-jetable/contenant-plastique/bol-a-service-noir-32-oz-yoshi-14531/
Yoshi,"Bol de service oval en plastique noir 80 oz / 2,3 L x1",emballage,unité (1un),1.59,1.59,caisse (25x1un),32.99,1.32,https://www.mayrand.ca/fr/nos-produits/emballage/contenant-jetable/contenant-plastique/bol-a-salade-noir-80-oz-ptb80-10-yoshi-14557/
Dixie,Bol en carton 12 oz /354 ml x125,emballage,unité (125un),7.99,0.064,caisse (8x125un),48.99,0.049,https://www.mayrand.ca/fr/nos-produits/emballage/contenant-jetable/contenant-carton/bol-en-carton-12oz-dixie-34389/
Hy Pax,Bol en papier kraft 12 oz / 355 ml x50,emballage,unité (50un),5.99,0.12,caisse (10x50un),54.99,0.11,https://www.mayrand.ca/fr/nos-produits/emballage/contenant-jetable/contenant-ecologique/bol-en-papier-kraft-12oz-hy-pax-28857/
Hy Pax,Bol en papier kraft 16 oz / 473 ml x50,emballage,unité (50un),7.99,0.16,caisse (10x50un),71.99,0.144,https://www.mayrand.ca/fr/nos-produits/emballage/contenant-jetable/contenant-ecologique/bol-en-papier-kraft-16oz-hy-pax-28861/
Hy Pax,Bol en papier kraft 32 oz / 946 ml x50,emballage,unité (50un),12.99,0.26,caisse (12x50un),146.99,0.245,https://www.mayrand.ca/fr/nos-produits/emballage/contenant-jetable/contenant-ecologique/bol-en-papier-kraft-32oz-hy-pax-28868/
Hy Pax,Bol en papier kraft 4 oz / 118 ml x50,emballage,unité (50un),3.29,0.066,caisse (20x50un),57.99,0.058,https://www.mayrand.ca/fr/nos-produits/emballage/contenant-jetable/contenant-ecologique/bol-en-papier-kraft-4oz-hy-pax-28856/
