Brand,Description,Catérogie,Format (petit),Prix Total,Prix unitaire,Format (grand),Prix Total,Prix unitaire,URL
Saputo,Caciocavallo fumé petit boule 250 g,produits-laitiers,"unité (env. 0,25 kg)",23.79,9.516,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/fromage-italien/caciocavallo-fume-petit-boule-saputo-30694/
Saputo,Caciocavallo medium petit boule 250 g,produits-laitiers,"unité (env. 0,25 kg)",23.79,9.516,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/fromage-italien/caciocavallo-medium-petit-boule-saputo-30695/
Castello,Camembert 125 g,produits-laitiers,unité (125g),4.29,3.432,caisse (12X125g),47.99,3.199,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/camembert-et-brie/camembert-castello-30477/
ROITELET,Camembert Le Roitelet 250 g,produits-laitiers,unité (250g),5.29,2.116,caisse (12x250g),54.99,1.833,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/camembert-et-brie/fromage-camembert-roitelet-31078/
Le Rustique,Camembert Le Rustique 250 g,produits-laitiers,unité (250g),7.69,3.076,caisse (6x250g),42.99,2.866,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/camembert-et-brie/camembert-le-rustique-le-rustique-06910/
Président,Camembert Président 230 g,produits-laitiers,unité (230g),6.99,3.039,caisse (6X230g),33.99,2.463,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/camembert-et-brie/fromage-camembert-president-22352/
L'Extra,Camembert canadien,produits-laitiers,unité (env. 1 kg),24.99,2.499,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/camembert-et-brie/camembert-canadien-meule-lextra-06380/
L'Extra,Camembert canadien 400 g,produits-laitiers,"unité (env. 0,4 kg)",26.99,6.747,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/camembert-et-brie/camembert-canadien-coupe-lextra-13025/
Alexis de Portneuf,"Cantonnier 2,2 kg",produits-laitiers,"unité (env. 2,2 kg)",28.59,1.3,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/fromage-de-specialite/cantonnier-entier-alexis-de-portneuf-36102/
Alexis de Portneuf,Cantonnier 400 g,produits-laitiers,"unité (env. 0,4 kg)",30.59,7.647,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/fromage-de-specialite/cantonnier-coupe-alexis-de-portneuf-36103/
Grand cheddar,Cheddar 5 ans d'âge 200 g,produits-laitiers,unité (200g),6.79,3.395,caisse (6X200g),35.99,2.999,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/cheddar/cheddar-5-ans-dage-grand-cheddar-28884/
Armstrong,"Cheddar Monterey Jack 2,25 kg",produits-laitiers,unité (2.25kg),41.99,1.866,caisse (4X2.25kg),157.99,1.755,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/cheddar/fromage-cheddar-monterey-jack-meule-armstrong-49797/
Perron,Cheddar Réserve Spéciale 250 g,produits-laitiers,unité (250g),7.49,2.996,caisse (6x250g),40.49,2.699,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/cheddar/cheddar-reserve-speciale-perron-16727/
Oak Manor,Cheddar au porto,produits-laitiers,unité (env. 1 kg),29.99,2.999,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/cheddar/cheddar-au-porto-coupe-oak-manor-36494/
Perron,Cheddar au porto 170 g,produits-laitiers,unité (170g),5.99,3.524,caisse (6X170g),30.99,3.038,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/cheddar/cheddar-porto-perron-35372/
Allegro,Cheddar aux herbes et épices 9% 270 g,produits-laitiers,unité (270g),6.99,2.589,caisse (12X270g),77.99,2.407,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/cheddar/cheddar-aux-herbes-et-epices-9-allegro-23894/
Oak Manor,"Cheddar balsamique aux oignons 1,25 kg",produits-laitiers,"unité (env. 1,25 kg)",28.99,2.319,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/cheddar/cheddar-balsamique-aux-oignons-meule-oak-manor-36495/
Oak Manor,Cheddar balsamique à l'oignon 300 g,produits-laitiers,"unité (env. 0,3 kg)",31.99,10.663,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/cheddar/cheddar-balsamique-aux-oignons-coupe-oak-manor-36496/
FromaDar,Cheddar blanc 500 g,produits-laitiers,"unité (env. 0,5 kg)",16.49,3.298,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/cheddar/cheddar-blanc-coupe-fromadar-29072/
Saint Henri,Cheddar blanc 650 g,produits-laitiers,"unité (env. 0,65 kg)",16.49,2.537,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/cheddar/cheddar-blanc-saint-henri-29952/
Allegro,Cheddar blanc 9% 270 g,produits-laitiers,unité (270g),6.99,2.589,caisse (12X270g),77.99,2.407,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/cheddar/cheddar-blanc-9-allegro-23895/
La Chaudière,"Cheddar blanc doux 1,2 kg",produits-laitiers,"unité (env. 1,2 kg)",15.99,1.333,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/cheddar/cheddar-blanc-doux-la-chaudiere-33964/
